asli,translate
Non Reaktif : Indeks 0.03,Non Reactive : Index 0.03
Non Reaktif : Indeks 0.00,Non Reactive : Index 0.00
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Non Reaktif : indeks 0.065,Non Reactive : index 0.065
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Negative : Ratio 1.00,Negatif : Ratio 1.00
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
"Terdeteksi, Nilai CT 36.12 , Cut off CT 36","Detected, CT Value 36.12, Cut off CT 36"
"Terdeteksi, Nilai CT 40.00, Cut off CT 40","Detected, CT Value 40.00, Cut off CT 40"
Positif,Positive
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative 
Tidak terdeteksi,Negative 
Negatif,Negative 
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative 
Tidak terdeteksi,Negative 
Negatif,Negative 
Tidak terdeteksi,Negative 
Tidak terdeteksi,Negative 
Negatif,Negative 
Tidak terdeteksi,Negative 
Tidak terdeteksi,Negative 
Negatif,Negative 
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
"Terdeteksi, Nilai CT 19.54, Cut off CT 36","Positive, CT Value 19.54, Cut off CT 36"
"Terdeteksi, Nilai CT 24.05 , Cut off CT 40","Positive, CT Value 24.05 , Cut off CT 40"
Positif,Positiive
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
"Terdeteksi, Nilai CT 34.62, cut off CT 36","Positive, CT Value 34.62, CT cut off 36"
"Terdeteksi, Nilai CT 37.44, cut off CT 40","Positive, CT Value 37.44, CT cut off 40"
Positif,Positive
"Non Reaktif : Indeks 0,43","Non Reactive : Index 0,43"
"Reaktif : Indeks 23,36","Reactive : Index 23,36"
Tidak terdeteksi,Negative
Tidak terdeteksi,Negative
Negatif,Negative
Kuning,Yellow
Keruh,Turbid
Positif 3,Positive 3
Negatif,Negative
Negatif,Negative
Negatif,Negative
Normal,Normal
Negatif,Negative
Positif 1,Positive 1
Positif 1,Positive 1
Banyak,Excessive
Negatif,Negative
Granular cast 0 - 1,Granular cast 0 - 1
Bakteri : Positif,Bakcteria : Positive
Tidak terdeteksi,Negative
