asli,translate
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
There is no evidence of pulmonary disease.
"
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
",Normal chest x-ray.
"Within normal limit findings
Within normal limit ECG","Within normal limit findings
Within normal limit ECG"
"Counter Clock Wise Rotation
",Counter Clock Wise Rotation
"AD : Dalam batas normal
AS : CHL","AD : Within normal limit
AS : CHL "
"Tidak membesar, permukaan licin. Echostruktur homogen,tidak meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","The size was normal limits
There parenchim was normal limits.
Normal biliary tract and portal vein.
There was no SOL or ascites"
Besar dan bentuk serta dinding normal. Tak tampak batu/ sludge/ SOL.,"The size and wall was normal limits
There was no stone or sludge"
Besar dan struktur parenchim normal.Tak tampak massa/SOL maupun kalsifikasi.,"The structures parenchim was normal limits
There was no calcification or SOL"
"Tidak membesar, struktur parenchim normal tidak tampak massa/SOL.","The size was normal limits
The parenchim was normal limits"
"Tidak membesar, struktur parenchim normal. Tak tampak massa/ SOL maupun kalsifikasi.","The size and parenchim was normal limits
There was no SOL or calcification "
"Besar dan dinding normal, tak tampak batu/SOL.","No thickening of. bladder wall.
There was no SOL or calcification "
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
",Normal chest X-Ray
"89% MPR, kelelahan umum",Fatique at 89% MPR
"Tampak oligodento gigi: 1.8 , 2.8 , 3.8 , 4.8
Akar gigi rahang atas-bawah baik, lamina dura intact","There are oligodento: 1.8 , 2.8 , 3.8 , 4.8
All teeth root upper-lower jaws are normal, lamina dura intact."
"1.8 pelebaran pulpa (pulpitis)
1.3 , 2.3 mal posisi
Oligodento : 3.6 , 4.6
Impaksi gigi :
3.8 klas I A mesioangular
4.8 klas II A distoangular","1.8 dilated pulpa (pulpitis)
1.3 , 2.3 mal position
Oligodento : 3.6 , 4.6
Impacted teeth :
3.8 Class I A mesioangular
4.8 Class II A distoangular"
Dalam batas normal,Within normal limit
"Tidak membesar, permukaan licin. Echostruktur homogen,difus meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","No enlargement of the liver with increase diffuse and normal echostructure, no an/ hypo/ hiper echogenic lesion is noted.
Normal biliary tract and portal vein"
"Tidak membesar, permukaan licin. Echostruktur homogen,tidak meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","No enlargement of the liver with smoth surface and normal echostructure, no an/ hypo/ hiper echogenic lesion is noted.
Normal biliary tract and portal vein"
" Besar dan bentuk normal. Tampak multipel batu dengan akustik shadow (+) dengan diameter 1,2 cm.","There have multiple stones with accustic shadow with diameter 1,2 cm."
Besar dan bentuk normal. Tak tampak massa/SOL maupun kalsifikasi.,"The parenchim was normal limits
There was no SOL"
"Normal, tak tampak massa/SOL dan pembesaran KGB.",Was normal limits.
"Tidak membesar, pinggir rata, echostruktur agak kasar, corakan vaskuler masih jelas terlihat, tidak tampak lesi patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal, ascites (-).
","No enlargement of the liver with increase diffuse and normal echostructure, no an/ hypo/ hiper echogenic lesion is noted. Normal biliary tract and portal vein"
"Bentuk normal, dinding tidak menebal, batu (-), tidak tampak pelebaran CBD.","The size and wall was normal limits
There was no stone or sludge"
"Echostruktur dan echodensitas baik, tidak tampak kalsifikasi patologis, ductus pancreaticus tidak melebar.","The structures parenchim was normal limits
There was no calcification or SOL"
"Tidak membesar, v.lienalis tidak melebar.","The size was normal limits
The parenchim was normal limits"
Aorta abdomen tidak melebar.,No enlargement abdominal aortic.
"Bentuk besar normal, echostruktur baik. Volume +/- 7 ml (normal 7-15 ml).","The size and parenchim was normal limits
There was no SOL or calcification. Volume +/- 7 ml."
"Terisi baik, dinding tidak menebal, batu/massa (-).","No thickening of. bladder wall.
There was no SOL or calcification "
Sinus bradycardia,Sinus bradycardia
Early repolarization,Early repolarization
Sinus bradycardia,Sinus bradycardia
Counter Clock Wise Rotation,Counter Clock Wise Rotation
